2017/06/22 00:10:30 [error] 32#0: *178 FastCGI sent in stderr: "PHP message: PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /app/public/local-phpinfo.php on line 1" while reading response header from upstream, client: 127.0.0.1, server: site_domain, request: "GET /local-phpinfo.php HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev"
2017/06/26 23:29:24 [error] 32#0: *1650 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:29:29 [error] 32#0: *1658 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:29:38 [error] 32#0: *1666 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 21" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:31 [error] 32#0: *1676 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:35 [error] 32#0: *1684 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:36 [error] 32#0: *1692 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:36 [error] 32#0: *1694 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:36 [error] 32#0: *1696 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:30:37 [error] 32#0: *1702 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 20" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:37:50 [error] 32#0: *1740 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 45" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:38:02 [error] 32#0: *1748 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 45" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:38:51 [error] 32#0: *1758 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 46" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:38:56 [error] 32#0: *1766 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 25" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:41:13 [error] 32#0: *1776 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 43" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:43:12 [error] 32#0: *1810 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 46" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
2017/06/26 23:43:29 [error] 32#0: *1818 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected end of file in /app/public/wp-content/themes/taggedunderconstruction/content.php on line 44" while reading upstream, client: 127.0.0.1, server: site_domain, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php-fpm.sock:", host: "taggedunderdesign.dev", referrer: "http://taggedunderdesign.dev/"
